,narrative,social_mentions_per_hour,sentiment_score,influencer_score,tvl_change_pct,active_addresses_change_pct,dex_volume_change_pct,price_change_pct,funding_rate,market_cap_millions,volume_millions,social_momentum,onchain_momentum,price_momentum,divergence_type,divergence_strength,lifecycle_position
2024-01-15 00:00:00,AI,261.1475862436878,0.45278689656092197,0.09501641380965951,-8.274417140693933,-3.9934099987381275,-16.548834281387865,-10.0,-0.01,90.0,10.03534971558364,0.1055737931218439,0.02875971432176779,0.0,none,0.0,0.1
2024-01-15 01:00:00,AI,235.6959250827086,0.4464239812706772,0.08356316628721887,-4.023573487326327,-1.5137512009403573,-8.047146974652653,-10.0,-0.01,90.0,12.585855907604204,0.0928479625413543,0.09960710854456122,0.0,none,0.0,0.1
2024-01-15 02:00:00,AI,272.2798894984438,0.45556997237461094,0.10002595027429971,-7.885575033784498,-3.76658543637429,-15.771150067568996,-9.627800279179006,-0.00972930929394837,90.372199720821,10.311121541025551,0.1111399447492219,0.03524041610359171,0.0033836338256453954,none,0.0,0.1
2024-01-15 03:00:00,AI,230.95240653405466,0.4452381016335137,0.08142858294032461,-5.377640337784339,-2.3036235303741974,-10.755280675568677,-8.373085475431147,-0.008816789436677198,91.62691452456886,11.986241810267881,0.09047620326702734,0.07703932770359435,0.014790132041535032,none,0.0,0.1
2024-01-15 04:00:00,AI,183.30081497625042,0.43332520374406264,0.05998536673931269,-6.477757037396119,-2.9453582718144027,-12.955514074792237,-10.0,-0.01,90.0,11.11334577756233,0.06665040748812522,0.058704049376731356,0.0,none,0.0,0.1
2024-01-15 05:00:00,AI,263.09511060164425,0.4532737776504111,0.0958927997707399,-7.640544297119526,-3.6236508399863903,-15.281088594239051,-8.204618691867154,-0.008694268139539748,91.79538130813285,10.62345237031703,0.10654755530082212,0.03932426171467457,0.016321648255753156,none,0.0,0.1
2024-01-15 06:00:00,AI,233.0250513781234,0.44575626284453085,0.08236127312015554,-7.151048841013724,-3.338111823924672,-14.302097682027448,-10.0,-0.01,90.0,10.709370695391767,0.09151252568906171,0.04748251931643794,0.0,none,0.0,0.1
2024-01-15 07:00:00,AI,305.550683055643,0.4638876707639108,0.11499780737503935,-5.133888189998449,-2.161434777499095,-10.267776379996898,-9.458932328284066,-0.009606496238752048,90.54106767171594,11.991326491754839,0.1277753415278215,0.08110186350002585,0.004918797015599399,none,0.0,0.1
2024-01-15 08:00:00,AI,331.7142966900032,0.47042857417250084,0.12677143351050144,-4.661541478421489,-1.8858991957458682,-9.323082956842978,-10.0,-0.01,90.0,12.203075112947108,0.1408571483450016,0.0889743086929752,0.0,none,0.0,0.1
2024-01-15 09:00:00,AI,247.5507495938825,0.4493876873984706,0.08889783731724712,-5.861931874654619,-2.586126926881861,-11.723863749309238,-8.690743687112437,-0.009047813590627226,91.30925631288757,11.649885118604436,0.09877537479694125,0.06896780208908967,0.011902330117159667,none,0.0,0.1
2024-01-15 10:00:00,AI,290.87351904220776,0.46021837976055197,0.1083930835689935,-6.596148991255137,-3.0144202448988295,-13.192297982510274,-9.289102945397659,-0.009482983960289206,90.71089705460234,11.129532228416632,0.12043675952110389,0.05673085014574772,0.006462700496384918,none,0.0,0.1
2024-01-15 11:00:00,AI,329.0865057818593,0.46977162644546483,0.12558892760183668,-5.621233902615612,-2.4457197765257734,-11.242467805231223,-10.0,-0.01,90.0,11.627259658430633,0.13954325289092964,0.07297943495640648,0.0,none,0.0,0.1
2024-01-15 12:00:00,AI,407.944618808002,0.4894861547020005,0.16107507846360092,-6.138507872758463,-2.7474629257757703,-12.277015745516927,-8.01881418708512,-0.00855913759060736,91.98118581291487,11.566016080430899,0.17897230940400102,0.06435820212069228,0.018010780117408004,none,0.0,0.1
